Date,rate
11/14/19,0.01761630
12/16/19,0.01723840
1/14/20,0.01695420
2/14/20,0.01680760
3/16/20,0.01662380
4/14/20,0.01629340
5/14/20,0.01588340
6/15/20,0.01552420
7/14/20,0.01525050
8/14/20,0.01510500
9/14/20,0.01503790
10/14/20,0.01498180
11/16/20,0.01494520
12/14/20,0.01491760
1/14/21,0.01486120
2/15/21,0.01480720
3/15/21,0.01475480
4/14/21,0.01467600
5/14/21,0.01461180
6/14/21,0.01457380
7/14/21,0.01454150
8/16/21,0.01454860
9/14/21,0.01459500
10/14/21,0.01465070
11/15/21,0.01473760
12/14/21,0.01484500
1/14/22,0.01493550
2/14/22,0.01503250
3/14/22,0.01513100
4/14/22,0.01520060
5/16/22,0.01526890
6/14/22,0.01533420
7/14/22,0.01536880
8/15/22,0.01540200
9/14/22,0.01543450
10/14/22,0.01543960
11/14/22,0.01544970
12/14/22,0.01546920
1/16/23,0.01547240
2/14/23,0.01548810
3/14/23,0.01551630
4/14/23,0.01552910
5/15/23,0.01555710
6/14/23,0.01560030
7/14/23,0.01562880
8/14/23,0.01567350
9/14/23,0.01573420
10/16/23,0.01578060
11/14/23,0.01583930
12/14/23,0.01590840
1/15/24,0.01595830
2/14/24,0.01601590
3/14/24,0.01608060
4/15/24,0.01612530
5/14/24,0.01617700
6/14/24,0.01623650
7/15/24,0.01627620
8/14/24,0.01632390
9/16/24,0.01638020
10/14/24,0.01641550
11/14/24,0.01646040
12/16/24,0.01651740
1/14/25,0.01655670
2/14/25,0.01660830
3/14/25,0.01667080
4/14/25,0.01671540
5/14/25,0.01677220
6/16/25,0.01684180
7/14/25,0.01689200
8/14/25,0.01695380
9/15/25,0.01702740
10/14/25,0.01708140
11/14/25,0.01714670
12/15/25,0.01722320
1/14/26,0.01728070
2/16/26,0.01734900
3/16/26,0.01742570
4/14/26,0.01748080
5/14/26,0.01754470
6/15/26,0.01761840
7/14/26,0.01767190
8/14/26,0.01773540
9/14/26,0.01780920
10/14/26,0.01786340
11/16/26,0.01792830
12/14/26,0.01800240
1/14/27,0.01805610
2/15/27,0.01811910
3/15/27,0.01818950
4/14/27,0.01823710
5/14/27,0.01829280
6/14/27,0.01835730
7/14/27,0.01840070
8/16/27,0.01845450
9/14/27,0.01851740
10/14/27,0.01855940
11/15/27,0.01861190
12/14/27,0.01867470
1/14/28,0.01871910
2/14/28,0.01877560
3/14/28,0.01884440
4/14/28,0.01889120
5/15/28,0.01896080
6/14/28,0.01903510
7/14/28,0.01909150
8/14/28,0.01915990
9/14/28,0.01924030
10/16/28,0.01930280
11/14/28,0.01937400
12/14/28,0.01945270
1/15/29,0.01950880
2/14/29,0.01956950
3/14/29,0.01963330
4/16/29,0.01967180
5/14/29,0.01971250
6/14/29,0.01975610
7/16/29,0.01977370
8/14/29,0.01979380
9/14/29,0.01981720
10/15/29,0.01981510
11/14/29,0.01981880